,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
juliansmith87,null,609735,672679,704645,746547,771469,805696,831507,862765,895170,919762,948629,961581,975967,1002682,1013673,1021040,1032600,1052757,1085602,1108471,1173007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
livelavalive,null,608521,621071,626972,634052,637769,651355,660615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotallySketch,null,606190,629494,653515,699119,718421,740292,758537,775996,796313,825282,834741,818584,828854,837998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
thecomputernerd01,null,602094,656767,685133,716628,733184,758558,777930,796844,814572,827362,843880,830931,840440,852051,858953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
therealdemilovato,null,598378,606004,610429,615425,625520,649014,661391,686249,701393,710126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeaNanners,null,599077,715368,762933,805926,831838,865507,891040,919864,946580,974890,996293,988278,1000995,1026001,1040904,1039256,1052564,1077882,1155589,1259819,1410695,1445803,1476756,1597407,1695914,1848067,1848067,,,2792233,3194295,3310420,3625112,3672416,3847553,3996703,4189683,4311793,4396141,4498024,4565423,4677700,4817572,4888935,4956036,5010010,5064559,5128001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrobooby,null,596114,628844,642288,654675,660028,679220,691526,704305,711935,721046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
michaeljackson,null,576468,580627,582024,585595,587218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JumbaFund,null,571930,587810,596161,654611,688710,713548,736301,768316,789664,800693,810288,800604,819342,845745,850370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bubzbeauty,null,570273,645251,681516,720504,745044,779557,813535,843948,872349,897274,929618,948829,971582,1011317,1022988,1030330,1049302,1068111,1115917,1153052,1243415,1279078,1301451,1447569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JamesNintendoNerd,null,568988,595158,611012,629018,638995,654469,667768,684999,698276,710603,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
take180com,null,561998,584665,597870,609456,619342,628641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BreakingNYC,null,561302,562110,622964,730280,771888,825654,867263,901189,916529,918082,918957,891291,894450,890943,888706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WongFuProductions,null,560203,660968,741956,802119,833267,879373,923410,978017,1030703,1062036,1086516,1083786,1106122,1140370,1153532,1192357,1211376,1226563,1250247,1274220,1386743,1411179,1425968,1506002,1554471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yourfavoritemartian,null,561037,853228,981100,1144489,1241914,1375459,1468029,1577893,1667404,1716450,1746282,1729917,1756895,1813968,1833613,1870575,1892566,1918340,1950384,1978129,2015372,2019485,2022182,2058576,2071266,2085197,2085197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DieAussenseiter,null,552435,592766,613615,632518,647550,671795,693529,713926,736491,750625,753428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MondoMedia,null,549677,594096,620561,642943,655467,704807,732693,767110,810710,859959,907948,930902,957349,996898,1018193,1059849,1084655,1114072,1155246,1195050,1310180,1341417,1360939,1443786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Onision,null,546775,574793,586597,604568,612964,631811,657389,678833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
taylorswift,null,544851,564349,574081,583778,588673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wafflepwn,null,532814,563630,578818,594390,602712,641534,668922,689525,710356,726823,751442,759900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLuffeeTalks,null,527065,551364,559010,568062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
keeptheheat,null,523055,567630,599597,630315,654418,683328,702426,720649,734493,741709,741003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MediocreFilms,null,518581,542112,553612,565527,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PhilipDeFranco,null,517587,555179,574826,588072,597700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
linkinparktv,null,517890,577721,609140,649797,679957,729824,767602,816878,862319,916108,997507,1107347,1165057,1246857,1288900,1400661,1440902,1488403,1588258,1674726,1866363,1909536,1933757,2095046,2183665,2350577,2350577,2644483,2719355,2841287,2989854,3066036,,,3442839,3535356,3625187,3722715,3794705,3922534,4012742,4104998,4223836,4309870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JPizzle1122,null,511599,524845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
smpfilms,null,496910,517347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ianh,null,483486,565812,617385,696868,749125,824980,898543,993158,1066375,1131988,1191903,1262260,1312634,1412701,1458106,1546141,1590006,1646165,1738712,1813748,1964882,2017632,2067307,2247570,2328469,2487347,2487347,2784673,2896874,3109340,3243727,3279393,,,3491890,3554123,3605768,3675359,3727070,3836488,3929286,4034958,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kandeejohnson,null,481151,530510,554569,578160,594146,616955,638472,,,,737109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
felipeneto,null,479713,543222,588460,609644,639538,687222,719415,756541,777267,788506,827541,851775,874612,905129,924729,944161,958150,1001229,1053966,1081848,,,1295080,1538947,1752334,1953846,1953846,,,2410206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boyceavenue,null,479452,562751,602569,647375,670735,714499,771218,840513,918193,994640,1076247,1177803,1237097,1311359,1340541,1433308,1462027,1503542,1599927,1674381,1865129,1959585,1995859,2301669,2473409,2703075,2703075,3164279,3334791,3632455,3891428,4039273,4471491,4575751,4841714,5077872,5333614,5514116,5629332,5769982,5868553,5997347,6144657,6250649,6370760,6455021,6541362,6653065,6766744,6863056,6988454,7078134,7261449,7305273,7441799,7551166,7675626,7790692,7865564,7957990,8058779,8150928,8228059,8292042,8369896,8475156,8569904,8660649,8746131,8987256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AllThatGlitters21,null,474721,520614,538157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TopGear,null,473483,,,,,,,,,,,,,,,,,,,,1172918,1248019,1297989,1639990,1862256,2168108,2168108,2628269,2743347,2949964,3122311,3159357,3251934,3278871,3384693,3508939,3587023,3668740,3725567,3800440,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vlogbrothers,null,467531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
panacea81,null,453177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TayZonday,null,451497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WasteTimeChasingCars,null,449518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RecklessTortuga,null,444755,,560633,610958,628823,666755,703732,728807,783303,807380,826686,822235,831565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FPSRussia,null,,606301,848140,1039243,1145882,1376010,1560762,1720951,1852121,1942023,2003071,2082048,2131886,2214338,2294846,2386874,2434034,2491646,2636962,2750631,3223420,3346436,3400531,3709068,3868980,4018624,4018624,4264931,4324100,4433090,4533434,4573648,4634051,4647756,4710647,4810877,4885473,4967352,5027252,5094927,5116446,5189829,5256278,5307472,5381751,5423645,5465075,5523420,5574645,5614030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EpicMealTime,null,,601808,847982,1063909,1199549,1377881,1526540,1716773,1870034,2008149,2123149,2224768,2285712,2384582,2423483,2542303,2583682,2638478,2734386,2803167,2957009,3056119,3142824,3595456,3833198,4245159,4245159,4999059,5163328,5439254,5672530,5734620,,,6044476,6139053,6190395,6239737,6278538,6326695,6374238,6478583,6548401,6584179,6617251,6639706,6658589,6686273,6713346,6734311,6761951,6796108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ItsKingsleyBitch,null,,523026,561572,608651,640426,697210,785053,825961,886927,932975,981908,999550,1022227,1050544,1059191,1077580,1094132,1145152,1247300,1312874,1476275,1528028,1556838,1677282,1741516,1871106,1871106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TylerWardMusic,null,,511662,553633,592626,622312,670795,704911,750919,789221,822625,845404,853471,872571,895526,906792,923554,934274,946703,979566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
werevertumorro,null,,,583065,684708,749947,881999,971047,1069705,1157011,1244931,1360053,1501251,1590186,1723291,1776675,1926232,1979773,2072228,2216960,2329174,2639034,2788850,2878932,3342658,3680879,4195978,4195978,4974382,5160299,5618758,6126630,6316067,6771499,6882118,7258018,7558569,7806415,7964131,8037204,8183128,8291857,8472587,8686552,8800629,8933527,9020438,9143523,9289756,9448464,9590387,9844711,9975729,10197033,10260715,10406105,10519636,10646370,10779113,10889857,11062054,11208033,11331313,11471046,11580284,11721776,11884773,11990297,12103838,12202275,12300529,12438122,12691446,12900140,13219853,13322563,13484261,13604630,13626677,13626677,13626677,13626677,13626677,14886923,15069773,15355699,15477683,15770201,16029214,,,,,,,,,,,,,,,,,,
nicepeter,null,,,548084,658607,709321,801591,898222,1022766,1147558,1235359,1330280,1401493,1468350,1552193,1576142,1645067,1662901,1676021,1707622,1737901,1870410,1896763,1907594,1958363,1990288,2037107,2037107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlueXephos,null,,,,,607941,713775,819759,986988,1159446,1301130,1376387,1440531,1533366,1658745,1731024,1929282,2016511,2153098,2402358,2557851,2856482,3002483,3094922,3599928,3907520,4324264,4324264,5062916,5311654,5719209,5976462,6044117,,,6525528,6656446,6775163,6864664,6919298,6987966,6999926,7075167,7145252,7175499,7204858,7211263,7230434,7242187,7261851,7272373,7283876,7293278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UKFDubstep,null,,,,,584407,659325,734998,837116,947892,1038984,1114565,1185109,1251459,1353321,1388275,1490358,1530425,1588361,1702671,1804077,2015858,2121195,2170115,2633888,2892089,3354075,3354075,4004335,4181717,4449480,4682249,4769090,,,5152896,5246225,5332878,5394681,5435459,5490913,5502113,5543895,5591228,5628449,5672202,5695862,5720598,5748419,5774399,5796836,5824873,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JennaMarbles,null,,,,,,786147,946159,1137193,1454858,1728245,1975421,2294435,2485288,2783819,2925234,3315349,3470016,3692109,4141657,4437563,5098015,5361885,5574087,6515039,7407823,8119981,8119981,9292996,9658047,10257336,10665702,10817666,11330668,11497806,12070108,12529512,12894981,13084144,13206456,13355674,13417288,13623032,13909043,14078229,14225247,14304638,14486982,14660889,14799681,14906934,15052990,15131837,15328212,15373050,15466738,15542135,15597970,15681190,15761696,15824404,15883551,15951377,15996123,16030887,16099609,16382558,16465480,16526996,16624773,16679974,16705622,16725948,16901835,17211244,17273034,17395607,17441593,17451623,17451623,17451623,17451623,17451623,17841940,17910085,18001446,18030419,18165873,18459719,18656935,18697289,18803227,18825109,18888490,18935681,18999145,19108240,19355642,19490233,19648099,,,,,,,
freddiew2,null,,,,,,626901,675560,749765,791783,820117,860308,875230,896261,935097,945998,972123,981251,1001592,1022103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WhiteBoy7thst,null,,,,,,623558,678964,744986,805418,922483,974616,1008977,1053060,1117387,1152156,1227373,1266188,1323696,1418381,1479132,1640172,1671251,1718518,1830448,1893828,1980839,1980839,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AtlanticVideos,null,,,,,,,640254,693339,743127,792497,822509,836257,855657,887384,903242,942865,956849,977797,1015019,1044075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RiotGamesInc,null,,,,,,,,885016,1051110,1131725,1215487,1342907,1425367,1561887,1629840,1813950,1889275,1996753,2179714,2294073,2555367,2662358,2733945,3004286,3166536,3429006,3429006,3880457,4018731,4232949,4425670,4511770,,,5162289,5321445,5483757,5677307,5794694,5899332,5965520,6107956,6218877,6380179,6520389,6489506,6530107,6609632,6683881,6742571,6805939,6832745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xJawz,null,,,,,,,,,716685,752533,771776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CorridorDigital,null,,,,,,,,,,723628,768335,806677,835778,870646,882150,965920,985602,1002898,1041835,1067543,,1293782,1334278,1484762,1580123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AdamThomasMoran,null,,,,,,,,,,,742776,857379,926448,1029638,1050373,1098679,1125717,1164379,1253873,1323795,1461448,1541534,1591644,1891048,2161897,2543354,2543354,3051990,3199503,3430796,3727935,3846616,4251065,4335267,4640055,4860563,5032842,5156547,5238798,5348441,5389908,5452981,5536829,5584085,5652702,5700485,5767629,5849299,5949173,6055317,6164690,6251955,6419735,6449095,6552681,,,,,,,,7341943,7424847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
karmincovers,null,,,,,,,,,,,730367,770888,797914,832797,,884490,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheOfficialSkrillex,null,,,,,,,,,,,,844179,973273,1143408,1211852,1387534,1458981,1568728,1781150,1927399,2335037,2487441,2603081,3272366,3622800,4300773,4300773,5067209,5264211,5537349,5806031,5945640,,,6771488,7027935,7243857,7537905,7759797,8003356,8139152,8326838,8566808,8735922,8943047,9084115,9271814,9478230,9682424,9905739,10214555,10421417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davidguetta,null,,,,,,,,,,,,771921,823795,899290,928098,1011718,1027067,1044203,1088765,1139364,1268173,1304299,1325659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
simonscat,null,,,,,,,,,,,,762557,795712,854283,866025,919668,935245,986759,1041087,1082085,1199164,1247067,1276438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
megannicolesite,null,,,,,,,,,,,,761723,793736,841885,863925,944353,975424,1015286,1130623,1211431,1350356,1384883,1403811,1494618,1557364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TobyGames,null,,,,,,,,,,,,761040,811862,899716,941368,1130103,1225763,1364079,1629761,1802508,2139178,2319786,2429332,2971194,3422417,3889700,3889700,4551096,4761488,5163029,5501661,5602884,5835147,5885816,6119788,6269182,6396571,6499766,6563140,6620983,6676857,6742042,6808207,6841134,6877027,6885777,6913900,6931677,6947698,6965825,6983838,6988846,6993051,6994061,6997065,6988307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CaptainSparklez,null,,,,,,,,,,,,,815013,938710,1025685,1242042,1323217,1435301,1641786,1773367,2209036,2360387,2456340,2805897,3008521,3391861,3391861,4101347,4441693,5046418,5464622,5610163,5987612,6078266,6433035,6723148,7069270,7271931,7390077,7532205,7645123,7811276,7975428,8057173,8143440,8194275,8265194,8356777,8452240,8523364,8595609,8641652,8738282,8761288,8800759,8808587,8877490,8959617,9034978,9074971,9120498,9150243,9196995,9262265,9375717,9466160,9576574,9637266,9698415,9753666,9801732,9833316,9860468,9902094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TheEllenShow,null,,,,,,,,,,,,,795748,956308,1011094,1153409,1186582,1240671,1364496,1547936,2098889,2358318,2502713,3196680,3747952,4511440,4511440,5649592,5904153,6356069,6646570,6777147,7354376,7506451,7965109,8240578,8665650,8936875,9078131,9272066,9313195,9446376,9597300,9822957,10133636,10362331,10585753,10916831,11279849,11531487,11802711,11967132,12250656,12305329,12459668,12621751,13041365,13718172,14044472,14477557,15120430,15571897,16006415,16367819,16665437,16947524,17149594,17456759,17838893,18110893,18316583,18655000,19007715,19645105,19806915,20041271,20170278,20201243,20201243,20201243,20201243,20201243,22954831,23371854,24039736,24267730,26179321,27506960,28220636,28404867,29114373,29248801,29622745,29800235,30274085,30712199,31240899,31648899,32644877,32778346,33098808,33570954,34025721,347000000,353000000,355000000
ERB,null,,,,,,,,,,,,,,857114,902408,1108903,1160679,1212913,1296696,1391115,2142335,2349524,2482167,2892194,3218612,3939344,3939344,5970381,6383730,6929516,7188894,7308879,,,9098487,9255132,9330130,9415696,9477256,9880073,10222821,10680877,10883179,10995169,11126462,11364605,11603934,11742496,11857707,11984255,12092283,12182036,12382485,12428416,12536566,12598723,12671623,12747650,12906510,13008827,13074328,13131963,13251720,13391131,13490477,13580150,13606034,13630398,13803274,14045453,14112404,14151458,14182189,14221317,14233399,14247035,14250885,14251919,14251919,14251919,14251919,14251919,14269232,14271851,14287640,14288009,,,,,,,,,,,,,,,,,,,,
TheSyndicateProject,null,,,,,,,,,,,,,,841066,888448,1050587,1109616,1218666,1361209,1459392,1827570,1959755,2067383,2516639,2839280,3261524,3261524,4037856,4272666,4750380,5233996,5426193,6011218,6129814,6535033,6869970,7075637,7233202,7359590,7494864,7596729,7770399,7974048,8070487,8183558,8255134,8345429,8475204,8596429,8694618,8801039,8856225,9024105,9079113,9179489,9247632,9339504,9520408,9615459,9683977,9746674,9794202,9859860,9919165,9913558,9947828,9964066,9973818,9975924,9979754,9982731,9987412,9981494,9983091,10023355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vetealaversha,null,,,,,,,,,,,,,,,856197,969696,997158,1039585,1127240,1195389,1422073,1508622,1559890,1808902,1960182,2240567,2240567,2659685,2776571,2995601,3171453,3226786,,,3559466,3658737,3758338,3828153,3903736,4007457,4072450,4137044,4199702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uberhaxornova,null,,,,,,,,,,,,,,,,891720,942732,1010445,1108797,1161837,1252869,1285676,1323662,1453591,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prankvsprank,null,,,,,,,,,,,,,,,,886642,916710,977871,1069604,1147340,1444653,1523185,1586892,1918081,2187720,2463835,2463835,2889906,3009701,3294559,3660205,3797961,4100534,4164150,4409121,4544136,4696255,4850863,5006671,5205638,5391050,5801713,6120329,6295489,6596539,6742026,6947682,7163216,7413924,7636353,7859907,8081537,8505112,8603832,8855929,8975330,9163506,9328387,9470573,9588122,9668817,9828809,9947315,9987217,10017198,10048467,10066128,10076334,10130836,10229051,10242584,10239719,10252496,10302450,10328172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PewDiePie,null,,,,,,,,,,,,,,,,,1005176,1337290,1947432,2352844,3149791,3453155,3669461,4626099,5327772,6363991,6363991,8651441,9599578,11472102,13285421,13980719,16342877,17091851,19885836,22247863,24516666,25759956,26477703,27484563,28241556,29313653,30526879,31244223,32086860,32649787,33423500,34344391,35129721,35813755,36612679,37126247,38287931,38552679,39212042,39707033,40254303,40802370,41467003,42000760,42623641,43170892,44010633,45001930,45990572,47154674,47831720,48289035,49099130,49670128,52016486,52924413,53982870,54875886,55097119,55697832,56105422,56207871,56207871,56207871,56207871,56207871,60462866,61019045,61681142,61983709,63313629,65327905,66586178,66862210,70048344,70593617,73908011,77239357,80450264,83899628,88896813,93202245,96062364,96364491,96957092,98536903,100953351,101000000,102000000,102000000
TomSka,null,,,,,,,,,,,,,,,,,,923473,994670,1050274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vsauce,null,,,,,,,,,,,,,,,,,,,1108042,1246810,1649224,1752534,1834204,2220348,2468836,3008061,3008061,3733654,3907194,4386113,4971542,5166705,5732631,5899566,6428414,6685158,6921233,7064412,7160668,7291243,7388914,7552131,7750918,7873887,8012640,8106816,8234375,8364463,8495416,8620815,8771696,8896969,9048885,9105653,9248989,9411650,9538057,9669065,9778094,9896546,10036861,10161513,10375080,10471500,10650945,10826295,10853052,11024168,11115256,11199133,11323019,11515368,11712588,11970585,12023190,12108112,12162425,12183794,12183794,12183794,12183794,12183794,12910565,12970592,13087562,,,,,,,,,,,,,,,,,,,,,
HISHEdotcom,null,,,,,,,,,,,,,,,,,,,1045541,1142149,1365312,1476905,1514079,1701312,1787147,1892623,1892623,,,2535104,2706653,2758444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FaZeClan,null,,,,,,,,,,,,,,,,,,,981680,1044558,1188217,,1257721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
