,,02/2011,04/2011,05/2011,06/2011,07/2011,08/2011,09/2011,10/2011,11/2011,12/2011,01/2012,02/2012,03/2012,04/2012,05/2012,06/2012,07/2012,08/2012,09/2012,10/2012,11/2012,12/2012,01/2013,02/2013,03/2013,04/2013,05/2013,06/2013,07/2013,08/2013,09/2013,10/2013,11/2013,12/2013,01/2014,02/2014,03/2014,04/2014,05/2014,06/2014,07/2014,08/2014,09/2014,10/2014,11/2014,12/2014,01/2015,02/2015,03/2015,04/2015,05/2015,06/2015,07/2015,08/2015,09/2015,10/2015,11/2015,12/2015,01/2016,02/2016,03/2016,04/2016,05/2016,06/2016,07/2016,08/2016,09/2016,10/2016,11/2016,12/2016,01/2017,02/2017,03/2017,04/2017,05/2017,06/2017,07/2017,08/2017,09/2017,10/2017,11/2017,12/2017,01/2018,02/2018,03/2018,04/2018,05/2018,06/2018,07/2018,08/2018,09/2018,10/2018,11/2018,12/2018,01/2019,02/2019,03/2019,04/2019,05/2019,06/2019,07/2019,08/2019,09/2019,10/2019,11/2019,12/2019
sxephil,null,1479225,1571813,1612629,1669518,1704017,1752485,1811467,1867840,1908726,1947401,1989466,1999355,2019304,2039211,2048331,2031552,2056306,2119885,2165556,2219887,2294635,2316448,2334086,2378872,2421327,2486302,2486302,2609722,,2736481,2870432,2909125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kevjumba,null,1389776,1495878,1556061,1678381,1742942,1829718,1922173,2040312,2116162,2167331,2233840,2233648,2280072,2334365,2353698,2328631,2351544,2376591,2424759,2461556,2551328,2579326,2601055,2678508,2720498,2821166,2821166,2916503,2943790,2974503,2994739,3012234,3026264,3026963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
davedays,null,1377314,1417924,1436242,1468115,1487601,1515711,1537141,1559142,1573278,1579484,1580471,1538078,1535245,1520359,1529699,1427016,1432404,1447330,1461571,1469407,1479680,1489198,1491820,1506788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
failblog,null,1332443,1464535,,1578491,1598419,1634666,1660184,1678033,1685172,1689154,1698235,1661290,1654101,1642975,1637403,1561972,1557855,1556453,1554653,1557366,1560433,1561224,1561652,1568571,1578894,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barelypolitical,null,1234844,1343399,1404825,1459676,1490293,1545541,1581792,1616929,1651389,1680132,1744875,1745333,1779144,1810502,1845461,1893433,1928773,1960383,2026550,2088266,2199618,2237240,2258606,2358673,2420745,2531015,2531015,2746609,2794283,2936227,3148874,3215362,,,3430889,3478260,3520773,3606311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KassemG,null,1210808,1287194,1323767,1508536,1573742,1650369,1691324,1727369,1757918,1806458,1836934,1879713,1900316,1921338,1928131,1871176,1882171,1909304,1951395,1988727,2072242,2100656,2110472,2161031,2199908,2282295,2282295,,,2441148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MichellePhan,null,1194287,1297360,1353980,1413408,1450776,1505915,1552133,1607750,1662939,1709049,1773168,1805781,1841169,1907923,1932372,1951093,1984097,2051197,2172477,2262217,2488069,2592270,2659013,3012444,3204871,3509907,3509907,4011836,4171847,4485739,4803544,4912799,,,5584785,5760825,5934668,6100896,6311953,6525399,6627481,6773815,6941044,7054902,7212306,7278575,7366192,7450653,7525010,7601665,7698374,7752831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
universalmusicgroup,null,1089637,1089042,1089073,1089013,1089020,1088872,1088759,1088505,1088234,1086889,1084991,1067333,1061219,1000011,988745,898268,897533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ijustine,null,1043274,1111486,1140339,1174161,1189370,1215174,1235334,1257270,1285133,1301861,1317657,1283800,1290511,1294822,1294218,1219064,1225650,1233455,1241852,1257234,1293351,1313580,1327051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kidrauhl,null,1029918,1144556,1202699,1247876,1272763,1304496,1332007,1354544,1392315,1420045,1459645,1458576,1483842,1534458,1558269,1527989,1546142,1581075,1633128,1669477,1768547,1797165,1817082,1925097,1975327,2076213,2076213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
