name,value,year,lastValue,rank,image
Dikembe Mutombo,3289,2014.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2015.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2016.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2017.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2018.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Dikembe Mutombo,3289,2019.0,3289,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/mutomdi01.jpg
Kareem Abdul-Jabbar,283,1974.0,283,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,495,1975.0,283,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,833,1976.0,495,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1094,1977.0,833,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1279,1978.0,1094,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1595,1979.0,1279,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,1875,1980.0,1595,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2103,1981.0,1875,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2310,1982.0,2103,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2480,1983.0,2310,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2623,1984.0,2480,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2785,1985.0,2623,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,2915,1986.0,2785,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3012,1987.0,2915,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3104,1988.0,3012,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1989.0,3104,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1990.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1991.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1992.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1993.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1994.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1995.0,3189,1,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1996.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1997.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1998.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,1999.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2000.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2001.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2002.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2003.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2004.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2005.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2006.0,3189,2,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2007.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2008.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2009.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2010.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2011.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2012.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2013.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2014.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2015.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2016.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2017.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2018.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Kareem Abdul-Jabbar,3189,2019.0,3189,3,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/abdulka01.jpg
Mark Eaton,0,1974.0,0,765,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1975.0,0,741,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1976.0,0,718,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1977.0,0,673,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1978.0,0,647,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1979.0,0,629,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1980.0,0,602,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1981.0,0,588,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1982.0,0,562,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
Mark Eaton,0,1983.0,0,543,https://d2cwpp38twqe55.cloudfront.net/req/201905091/images/players/eatonma01.jpg
