name,time,index,rank,value,lastValue,age
Star Trek IV: The Voyage Home (1986),1987-12-01,18,9,38722906.7818051,38722906.7818051,0.8
Jaws 2 (1978),1987-12-01,18,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1987-12-01,18,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1987-12-01,18,12,37590902.2959588,37590902.2959588,0
Indiana Jones and the Temple of Doom (1984),1988-06-01,19,1,62096198.9612343,62096198.9612343,0.2
Beverly Hills Cop II (1987),1988-06-01,19,2,58999405.7809692,58999405.7809692,0.8
Return of the Jedi (1983),1988-06-01,19,3,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1988-06-01,19,4,47699955.3313116,47699955.3313116,0.4
Rocky IV (1985),1988-06-01,19,5,46400083.5203288,46400083.5203288,0.5
Star Trek III: The Search for Spock (1984),1988-06-01,19,6,40862917.8173578,40862917.8173578,0.2
Superman II (1981),1988-06-01,19,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1988-06-01,19,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1988-06-01,19,9,38722906.7818051,38722906.7818051,0.7
Jaws 2 (1978),1988-06-01,19,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1988-06-01,19,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1988-06-01,19,12,37590902.2959588,37590902.2959588,0
Indiana Jones and the Temple of Doom (1984),1988-12-01,20,1,62096198.9612343,62096198.9612343,0.1
Beverly Hills Cop II (1987),1988-12-01,20,2,58999405.7809692,58999405.7809692,0.7
Return of the Jedi (1983),1988-12-01,20,3,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1988-12-01,20,4,47699955.3313116,47699955.3313116,0.3
Rocky IV (1985),1988-12-01,20,5,46400083.5203288,46400083.5203288,0.4
Star Trek III: The Search for Spock (1984),1988-12-01,20,6,40862917.8173578,40862917.8173578,0.1
Superman II (1981),1988-12-01,20,7,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1988-12-01,20,8,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1988-12-01,20,9,38722906.7818051,38722906.7818051,0.6
Jaws 2 (1978),1988-12-01,20,10,38575846.3600615,38575846.3600615,0
Every Which Way But Loose (1978),1988-12-01,20,11,38448939.2564359,38448939.2564359,0
Star Trek II: The Wrath of Khan (1982),1988-12-01,20,12,37590902.2959588,37590902.2959588,0
Batman (1989),1989-06-01,21,1,82920128.6575987,0,1
Indiana Jones and the Temple of Doom (1984),1989-06-01,21,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1989-06-01,21,3,60358396.9726994,0,1
Indiana Jones and the Last Crusade (1989),1989-06-01,21,4,60117001.4271394,0,1
Beverly Hills Cop II (1987),1989-06-01,21,5,58999405.7809692,58999405.7809692,0.6
Return of the Jedi (1983),1989-06-01,21,6,58857041.0006439,58857041.0006439,0
Rambo: First Blood Part II (1985),1989-06-01,21,7,47699955.3313116,47699955.3313116,0.2
Rocky IV (1985),1989-06-01,21,8,46400083.5203288,46400083.5203288,0.3
Star Trek III: The Search for Spock (1984),1989-06-01,21,9,40862917.8173578,40862917.8173578,0
Superman II (1981),1989-06-01,21,10,39598007.9492155,39598007.9492155,0
Star Trek: The Motion Picture (1979),1989-06-01,21,11,39415813.32,39415813.32,0
Star Trek IV: The Voyage Home (1986),1989-06-01,21,12,38722906.7818051,38722906.7818051,0.5
Batman (1989),1989-12-01,22,1,82920128.6575987,82920128.6575987,0.9
Indiana Jones and the Temple of Doom (1984),1989-12-01,22,2,62096198.9612343,62096198.9612343,0
Ghostbusters II (1989),1989-12-01,22,3,60358396.9726994,60358396.9726994,0.9
Indiana Jones and the Last Crusade (1989),1989-12-01,22,4,60117001.4271394,60117001.4271394,0.9
