,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Kobe Bryant,upload.wikimedia.org/wikipedia/commons/thumb/0/05/Kobe_Bryant_warming_up.jpg/220px-Kobe_Bryant_warming_up.jpg,,,,,,,,,,,,,22,,26.1,28.8,31,33,39,45,48,53,52.3,61.9,61.5,49.5,50,,,
Jacques Villeneuve,upload.wikimedia.org/wikipedia/commons/thumb/6/63/Jacques_Villeneuve_at_Mont-Tremblant_2010_01.jpg/220px-Jacques_Villeneuve_at_Mont-Tremblant_2010_01.jpg,,,,,,,,,,,,,20,23,,,,,,,,,,,,,,,,
Jeff Gordon,upload.wikimedia.org/wikipedia/commons/thumb/f/f5/Jeff_Gordon_at_the_2015_Daytona_500_%28cropped%29.JPG/220px-Jeff_Gordon_at_the_2015_Daytona_500_%28cropped%29.JPG,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,
Alex Rodriguez,upload.wikimedia.org/wikipedia/commons/thumb/7/72/Alex_Rodriguez.jpg/275px-Alex_Rodriguez.jpg,,,,,,,,,,,,,,26,26.2,,29,,,,,35,,,,,,,,
Peyton Manning,upload.wikimedia.org/wikipedia/commons/thumb/c/c0/Peyton_Manning_by_Gage_Skidmore.jpg/220px-Peyton_Manning_by_Gage_Skidmore.jpg,,,,,,,,,,,,,,,42,,,,,,,,42.4,,,,,,,
David Beckham,upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Beckswimbledon.jpg/220px-Beckswimbledon.jpg,,,,,,,,,,,,,,,28,32.5,,33,50,42,43.7,40,46,47.2,,,,,,
Michael Vick,upload.wikimedia.org/wikipedia/commons/thumb/e/e5/Michael_vick_2017_%28cropped%29.jpg/250px-Michael_vick_2017_%28cropped%29.jpg,,,,,,,,,,,,,,,,37.5,,,,,,,,,,,,,,
Lance Armstrong,upload.wikimedia.org/wikipedia/commons/thumb/4/47/Lance_Armstrong_%28Tour_Down_Under_2009%29.jpg/220px-Lance_Armstrong_%28Tour_Down_Under_2009%29.jpg,,,,,,,,,,,,,,,,28,,,,,,,,,,,,,,
Valentino Rossi,upload.wikimedia.org/wikipedia/commons/thumb/6/62/G013111.jpg/220px-G013111.jpg,,,,,,,,,,,,,,,,28,30,,35,35,,,,,,,,,,
Muhammad Ali,upload.wikimedia.org/wikipedia/commons/thumb/8/89/Muhammad_Ali_NYWTS.jpg/220px-Muhammad_Ali_NYWTS.jpg,,,,,,,,,,,,,,,,,55,,,,,,,,,,,,,
